"tmp_cat1","tmp_cat2","tmp_listingvalue","remove","data_product_code","data_part_name","data_product_name","data_pageUrl","data_category1","data_category2","data_description","data_features","data_additional_info","data_drawing1","data_drawing2","data_image1","data_image2","data_image3","data_image4","data_image5","data_imageUrl6","data_imageUrl7","data_supplier","data_scrape_date","data_imageUrl8","data_imageUrl9","data_imageUrl10","data_imageUrl11","data_part_number_note","data_compliance","data_video","data_imageUrl12","data_optionalGrateFinishes"
"Flashings","Pipe Flashings","1","1","WLV1212F","12"" x 12"" Louvered Gable End Vent Flush Mount","Louvered Gable End Vent","https://thunderbirdproducts.com/products/louvered-gable-end-vent","","","Louvered Gable End Vents are made of 16 ounce copper or stainless steel. There are many standard sizes and mounting styles available. Louvers are fixed and the vent is screened to keep insects and animals out. Both copper and stainless steel look great and last much longer than standard aluminum and plastic vents.","Louvered gable wall vent
Made of 16 ounce copper, or stainless steel
Fixed Louvers spaced 2"" apart
Many sizes to choose from (custom sizes are available)
Includes screen to keep insects and animals out","Which Mounting Style? Thunderbird Products' vents come in two different mounting styles. The flush mount should be purchased if the siding of your building is already installed, or if your building is brick or stone. The stucco mount model has a flashing and is meant to be installed prior to the siding installation. This mount can best be used with stucco, or wood / vinyl siding (stucco mount vents must be installed underneath siding and water-proofing).","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/fm_louver_v.pdf?v=1613774051","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/sm_louver_v.pdf?v=1613774050","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-782931.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-742257.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-565980.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-842075.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-585844.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-938280.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-574085.jpg?v=1615828539","thunderbird products","01/30/2023","","","","","","","","",""
"Flashings","Pipe Flashings","1","1","WLV1212J","12"" x 12"" Louvered Gable End Vent Stucco Mount","Louvered Gable End Vent","https://thunderbirdproducts.com/products/louvered-gable-end-vent","","","Louvered Gable End Vents are made of 16 ounce copper or stainless steel. There are many standard sizes and mounting styles available. Louvers are fixed and the vent is screened to keep insects and animals out. Both copper and stainless steel look great and last much longer than standard aluminum and plastic vents.","Louvered gable wall vent
Made of 16 ounce copper, or stainless steel
Fixed Louvers spaced 2"" apart
Many sizes to choose from (custom sizes are available)
Includes screen to keep insects and animals out","Which Mounting Style? Thunderbird Products' vents come in two different mounting styles. The flush mount should be purchased if the siding of your building is already installed, or if your building is brick or stone. The stucco mount model has a flashing and is meant to be installed prior to the siding installation. This mount can best be used with stucco, or wood / vinyl siding (stucco mount vents must be installed underneath siding and water-proofing).","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/fm_louver_v.pdf?v=1613774051","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/sm_louver_v.pdf?v=1613774050","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-782931.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-742257.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-565980.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-842075.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-585844.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-938280.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-574085.jpg?v=1615828539","thunderbird products","01/30/2023","","","","","","","","",""
"Flashings","Pipe Flashings","1","1","WLV1218F","12W"" x 18H"" Louvered Gable End Vent Flush Mount","Louvered Gable End Vent","https://thunderbirdproducts.com/products/louvered-gable-end-vent","","","Louvered Gable End Vents are made of 16 ounce copper or stainless steel. There are many standard sizes and mounting styles available. Louvers are fixed and the vent is screened to keep insects and animals out. Both copper and stainless steel look great and last much longer than standard aluminum and plastic vents.","Louvered gable wall vent
Made of 16 ounce copper, or stainless steel
Fixed Louvers spaced 2"" apart
Many sizes to choose from (custom sizes are available)
Includes screen to keep insects and animals out","Which Mounting Style? Thunderbird Products' vents come in two different mounting styles. The flush mount should be purchased if the siding of your building is already installed, or if your building is brick or stone. The stucco mount model has a flashing and is meant to be installed prior to the siding installation. This mount can best be used with stucco, or wood / vinyl siding (stucco mount vents must be installed underneath siding and water-proofing).","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/fm_louver_v.pdf?v=1613774051","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/sm_louver_v.pdf?v=1613774050","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-782931.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-742257.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-565980.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-842075.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-585844.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-938280.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-574085.jpg?v=1615828539","thunderbird products","01/30/2023","","","","","","","","",""
"Flashings","Pipe Flashings","1","1","WLV1218J","12W"" x 18H"" Louvered Gable End Vent Stucco Mount","Louvered Gable End Vent","https://thunderbirdproducts.com/products/louvered-gable-end-vent","","","Louvered Gable End Vents are made of 16 ounce copper or stainless steel. There are many standard sizes and mounting styles available. Louvers are fixed and the vent is screened to keep insects and animals out. Both copper and stainless steel look great and last much longer than standard aluminum and plastic vents.","Louvered gable wall vent
Made of 16 ounce copper, or stainless steel
Fixed Louvers spaced 2"" apart
Many sizes to choose from (custom sizes are available)
Includes screen to keep insects and animals out","Which Mounting Style? Thunderbird Products' vents come in two different mounting styles. The flush mount should be purchased if the siding of your building is already installed, or if your building is brick or stone. The stucco mount model has a flashing and is meant to be installed prior to the siding installation. This mount can best be used with stucco, or wood / vinyl siding (stucco mount vents must be installed underneath siding and water-proofing).","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/fm_louver_v.pdf?v=1613774051","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/sm_louver_v.pdf?v=1613774050","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-782931.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-742257.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-565980.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-842075.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-585844.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-938280.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-574085.jpg?v=1615828539","thunderbird products","01/30/2023","","","","","","","","",""
"Flashings","Pipe Flashings","1","1","WLV1224F","12W"" x 24H"" Louvered Gable End Vent Flush Mount","Louvered Gable End Vent","https://thunderbirdproducts.com/products/louvered-gable-end-vent","","","Louvered Gable End Vents are made of 16 ounce copper or stainless steel. There are many standard sizes and mounting styles available. Louvers are fixed and the vent is screened to keep insects and animals out. Both copper and stainless steel look great and last much longer than standard aluminum and plastic vents.","Louvered gable wall vent
Made of 16 ounce copper, or stainless steel
Fixed Louvers spaced 2"" apart
Many sizes to choose from (custom sizes are available)
Includes screen to keep insects and animals out","Which Mounting Style? Thunderbird Products' vents come in two different mounting styles. The flush mount should be purchased if the siding of your building is already installed, or if your building is brick or stone. The stucco mount model has a flashing and is meant to be installed prior to the siding installation. This mount can best be used with stucco, or wood / vinyl siding (stucco mount vents must be installed underneath siding and water-proofing).","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/fm_louver_v.pdf?v=1613774051","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/sm_louver_v.pdf?v=1613774050","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-782931.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-742257.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-565980.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-842075.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-585844.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-938280.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-574085.jpg?v=1615828539","thunderbird products","01/30/2023","","","","","","","","",""
"Flashings","Pipe Flashings","1","1","WLV1224J","12W"" x 24H"" Louvered Gable End Vent Stucco Mount","Louvered Gable End Vent","https://thunderbirdproducts.com/products/louvered-gable-end-vent","","","Louvered Gable End Vents are made of 16 ounce copper or stainless steel. There are many standard sizes and mounting styles available. Louvers are fixed and the vent is screened to keep insects and animals out. Both copper and stainless steel look great and last much longer than standard aluminum and plastic vents.","Louvered gable wall vent
Made of 16 ounce copper, or stainless steel
Fixed Louvers spaced 2"" apart
Many sizes to choose from (custom sizes are available)
Includes screen to keep insects and animals out","Which Mounting Style? Thunderbird Products' vents come in two different mounting styles. The flush mount should be purchased if the siding of your building is already installed, or if your building is brick or stone. The stucco mount model has a flashing and is meant to be installed prior to the siding installation. This mount can best be used with stucco, or wood / vinyl siding (stucco mount vents must be installed underneath siding and water-proofing).","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/fm_louver_v.pdf?v=1613774051","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/sm_louver_v.pdf?v=1613774050","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-782931.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-742257.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-565980.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-842075.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-585844.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-938280.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-574085.jpg?v=1615828539","thunderbird products","01/30/2023","","","","","","","","",""
"Flashings","Pipe Flashings","1","1","WLV1418F","14W"" x 18H"" Louvered Gable End Vent Flush Mount","Louvered Gable End Vent","https://thunderbirdproducts.com/products/louvered-gable-end-vent","","","Louvered Gable End Vents are made of 16 ounce copper or stainless steel. There are many standard sizes and mounting styles available. Louvers are fixed and the vent is screened to keep insects and animals out. Both copper and stainless steel look great and last much longer than standard aluminum and plastic vents.","Louvered gable wall vent
Made of 16 ounce copper, or stainless steel
Fixed Louvers spaced 2"" apart
Many sizes to choose from (custom sizes are available)
Includes screen to keep insects and animals out","Which Mounting Style? Thunderbird Products' vents come in two different mounting styles. The flush mount should be purchased if the siding of your building is already installed, or if your building is brick or stone. The stucco mount model has a flashing and is meant to be installed prior to the siding installation. This mount can best be used with stucco, or wood / vinyl siding (stucco mount vents must be installed underneath siding and water-proofing).","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/fm_louver_v.pdf?v=1613774051","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/sm_louver_v.pdf?v=1613774050","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-782931.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-742257.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-565980.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-842075.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-585844.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-938280.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-574085.jpg?v=1615828539","thunderbird products","01/30/2023","","","","","","","","",""
"Flashings","Pipe Flashings","1","1","WLV1418J","14W"" x 18H"" Louvered Gable End Vent Stucco Mount","Louvered Gable End Vent","https://thunderbirdproducts.com/products/louvered-gable-end-vent","","","Louvered Gable End Vents are made of 16 ounce copper or stainless steel. There are many standard sizes and mounting styles available. Louvers are fixed and the vent is screened to keep insects and animals out. Both copper and stainless steel look great and last much longer than standard aluminum and plastic vents.","Louvered gable wall vent
Made of 16 ounce copper, or stainless steel
Fixed Louvers spaced 2"" apart
Many sizes to choose from (custom sizes are available)
Includes screen to keep insects and animals out","Which Mounting Style? Thunderbird Products' vents come in two different mounting styles. The flush mount should be purchased if the siding of your building is already installed, or if your building is brick or stone. The stucco mount model has a flashing and is meant to be installed prior to the siding installation. This mount can best be used with stucco, or wood / vinyl siding (stucco mount vents must be installed underneath siding and water-proofing).","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/fm_louver_v.pdf?v=1613774051","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/sm_louver_v.pdf?v=1613774050","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-782931.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-742257.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-565980.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-842075.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-585844.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-938280.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-574085.jpg?v=1615828539","thunderbird products","01/30/2023","","","","","","","","",""
"Flashings","Pipe Flashings","1","1","WLV1818F","18"" x 18"" Louvered Gable End Vent Flush Mount","Louvered Gable End Vent","https://thunderbirdproducts.com/products/louvered-gable-end-vent","","","Louvered Gable End Vents are made of 16 ounce copper or stainless steel. There are many standard sizes and mounting styles available. Louvers are fixed and the vent is screened to keep insects and animals out. Both copper and stainless steel look great and last much longer than standard aluminum and plastic vents.","Louvered gable wall vent
Made of 16 ounce copper, or stainless steel
Fixed Louvers spaced 2"" apart
Many sizes to choose from (custom sizes are available)
Includes screen to keep insects and animals out","Which Mounting Style? Thunderbird Products' vents come in two different mounting styles. The flush mount should be purchased if the siding of your building is already installed, or if your building is brick or stone. The stucco mount model has a flashing and is meant to be installed prior to the siding installation. This mount can best be used with stucco, or wood / vinyl siding (stucco mount vents must be installed underneath siding and water-proofing).","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/fm_louver_v.pdf?v=1613774051","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/sm_louver_v.pdf?v=1613774050","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-782931.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-742257.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-565980.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-842075.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-585844.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-938280.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-574085.jpg?v=1615828539","thunderbird products","01/30/2023","","","","","","","","",""
"Flashings","Pipe Flashings","1","1","WLV1818J","18"" x 18"" Louvered Gable End Vent Stucco Mount","Louvered Gable End Vent","https://thunderbirdproducts.com/products/louvered-gable-end-vent","","","Louvered Gable End Vents are made of 16 ounce copper or stainless steel. There are many standard sizes and mounting styles available. Louvers are fixed and the vent is screened to keep insects and animals out. Both copper and stainless steel look great and last much longer than standard aluminum and plastic vents.","Louvered gable wall vent
Made of 16 ounce copper, or stainless steel
Fixed Louvers spaced 2"" apart
Many sizes to choose from (custom sizes are available)
Includes screen to keep insects and animals out","Which Mounting Style? Thunderbird Products' vents come in two different mounting styles. The flush mount should be purchased if the siding of your building is already installed, or if your building is brick or stone. The stucco mount model has a flashing and is meant to be installed prior to the siding installation. This mount can best be used with stucco, or wood / vinyl siding (stucco mount vents must be installed underneath siding and water-proofing).","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/fm_louver_v.pdf?v=1613774051","https://cdn.shopify.com/s/files/1/0531/6149/2630/files/sm_louver_v.pdf?v=1613774050","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-782931.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-742257.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-565980.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-842075.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-585844.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-938280.jpg?v=1614670916","https://cdn.shopify.com/s/files/1/0531/6149/2630/products/louvered-gable-end-vent-hc-wlv2448j-574085.jpg?v=1615828539","thunderbird products","01/30/2023","","","","","","","","",""
